piramide_1;piramide_2;mes;año;ues;producto;consumo
2 Emp Medio;2.2 Silver;10;2018;MS;SUPERMERCADOS;13459343136
4 Micro;4.5 Transaccional;9;2018;RyT;Club la Colina;3839676
1 Emp Grandes;1.1 Platinum;7;2018;RyT;Hotel Peñalisa;41767482
2 Emp Medio;2.2 Silver;4;2018;RyT;Club Bellavista;5479667
2 Emp Medio;2.1 Gold;5;2018;Salud;CHEQUEOS;7795684
1 Emp Grandes;1.2 Premium;8;2018;RyT;Club la Colina;76359356
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Club la Colina;17340015
1 Emp Grandes;1.2 Premium;1;2018;MS;DROGUERIAS;18919069
3 Empresas Pymes;3.2 VIP Estándar;6;2018;MS;SUPERMERCADOS;192686415
4 Micro;4.5 Transaccional;10;2018;RyT;Programas Deportivos;43358184
1 Emp Grandes;1.2 Premium;5;2018;AyB;CATERING;54670171
3 Empresas Pymes;3.2 VIP Estándar;11;2017;Vivienda;SubsidioEntregado;44263020
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;MS;DROGUERIAS;5383520
2 Emp Medio;2.2 Silver;10;2018;RyT;Club Bellavista;45918429
4 Micro;4.7 Transaccional - Independiente;1;2018;RyT;Club El Cubo;-144094
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;Salud;;15606800
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Club El Cubo;26546131
3 Empresas Pymes;3.2 VIP Estándar;2;2018;Salud;;20190250
4 Micro;4.8 Transaccional - Pensionado;8;2018;RyT;Programas Deportivos;30084
4 Micro;4.8 Transaccional - Pensionado;2;2018;MS;SUPERMERCADOS;1334691
3 Empresas Pymes;3.2 VIP Estándar;8;2018;RyT;Piscilago;11674611
6 Otros;No Afiliada;4;2018;RyT;Hotel Peñalisa;18251635
3 Empresas Pymes;3.1 VIP;10;2018;RyT;Club El Cubo;21230532
4 Micro;4.5 Transaccional;2;2018;Educación y Cultura;Teatro;0
2 Emp Medio;2.1 Gold;2;2018;MS;SUPERMERCADOS;364153507
1 Emp Grandes;1.1 Platinum;9;2018;RyT;Club Calle 195;4361053
2 Emp Medio;2.2 Silver;9;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;5279671,81
2 Emp Medio;2.1 Gold;12;2018;RyT;Otros;239201052
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Programas Deportivos;65583335
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Piscilago;195303124
4 Micro;4.5 Transaccional;2;2018;RyT;Eventos y Convenciones;12631500
3 Empresas Pymes;3.1 VIP;6;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;3578000
4 Micro;4.7 Transaccional - Independiente;10;2018;RyT;Programas Deportivos;64000
3 Empresas Pymes;3.2 VIP Estándar;9;2018;AyB;CATERING;15680151
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2017;MS;DROGUERIAS;2399222
4 Micro;4.5 Transaccional;8;2017;MS;DROGUERIAS;98263134
2 Emp Medio;2.1 Gold;10;2018;AyB;CATERING;99131561
6 Otros;No Afiliada;4;2018;RyT;Piscilago;281478517
1 Emp Grandes;1.2 Premium;11;2018;Salud;;14373800
1 Emp Grandes;1.1 Platinum;5;2018;Educación y Cultura;ARTES;4307300
4 Micro;4.5 Transaccional;6;2018;RyT;Club El Cubo;54976651
3 Empresas Pymes;3.2 VIP Estándar;9;2018;RyT;Hotel Bosques de Athan;5780776
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Hotel Paipa;0
6 Otros;No afiliada;9;2017;MS;SUPERMERCADOS;104176533
3 Empresas Pymes;3.1 VIP;10;2018;RyT;Club Bellavista;53649435
2 Emp Medio;2.2 Silver;9;2017;Vivienda;SubsidioEntregado;18442925
6 Otros;No Afiliada;1;2018;RyT;Club Bellavista;-3119157
6 Otros;No Afiliada;6;2018;RyT;Hotel Paipa;7934432
4 Micro;4.1 Estándar;6;2018;MS;SUPERMERCADOS;41099798
2 Emp Medio;2.2 Silver;12;2018;Educación y Cultura;Campus;26802500
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;12;2018;Salud;;24572900
6 Otros;No afiliada;1;2017;MS;DROGUERIAS;9507612
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;MS;SUPERMERCADOS;87537735
6 Otros;No Afiliada;9;2017;RyT;;3184570704
4 Micro;4.8 Transaccional - Pensionado;10;2017;MS;DROGUERIAS;7582129
4 Micro;4.1 Estándar;2;2018;RyT;Club Bellavista;3083835
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2018;Salud;;29900
2 Emp Medio;2.2 Silver;1;2018;RyT;Club la Colina;4199924
4 Micro;4.5 Transaccional;7;2017;Vivienda;Fecha Promesa;2167914000
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Hotel Paipa;22527379
1 Emp Grandes;1.1 Platinum;4;2018;RyT;Club El Cubo;12665885
1 Emp Grandes;1.1 Platinum;12;2018;RyT;Hotel Alcaravan;-327588
4 Micro;4.1 Estándar;10;2018;Educación y Cultura;Teatro;13760400
3 Empresas Pymes;3.1 VIP;10;2018;Salud;CHEQUEOS;2951607
4 Micro;4.1 Estándar;2;2018;RyT;Piscilago;1256500
3 Empresas Pymes;3.1 VIP;7;2018;RyT;Hotel Peñalisa;0
6 Otros;No Afiliada;5;2017;Vivienda;Fecha Opcion;3255380304
4 Micro;4.5 Transaccional;8;2018;RyT;Club El Cubo;8183116
1 Emp Grandes;1.1 Platinum;10;2018;RyT;Club la Colina;61451467
3 Empresas Pymes;3.1 VIP;9;2018;Educación y Cultura;C+T;50959370
4 Micro;4.1 Estándar;9;2018;RyT;Club Bellavista;1554929
1 Emp Grandes;1.1 Platinum;8;2018;MS;SUPERMERCADOS;116433302
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;5;2018;RyT;Club la Colina;5529881
6 Otros;No Afiliada;5;2018;RyT;Piscilago;236624974
1 Emp Grandes;1.1 Platinum;11;2018;RyT;Club El Cubo;110269182
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Club Calle 195;1010412
2 Emp Medio;2.2 Silver;11;2018;RyT;Club la Colina;47540448
2 Emp Medio;2.2 Silver;8;2018;RyT;Club El Cubo;27307932
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;11;2018;RyT;Hotel Bosques de Athan;611665
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;10;2018;RyT;Programas Deportivos;13862516
1 Emp Grandes;1.1 Platinum;4;2018;RyT;Piscilago;972593
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;11;2018;RyT;Club la Colina;3243109
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;1;2017;Vivienda;Fecha Entrega;90209000
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;RyT;Hotel Bosques de Athan;4517255
5 Micro;5.1 Colsubsidio;5;2018;RyT;Club la Colina;7875215
4 Micro;4.1 Estándar;11;2018;MS;DROGUERIAS;107938427
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2018;RyT;Club la Colina;6167603
4 Micro;4.8 Transaccional - Pensionado;4;2017;MS;SUPERMERCADOS;208992
2 Emp Medio;2.2 Silver;6;2018;Educación y Cultura;Teatro;12418860
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2018;MS;DROGUERIAS;2214205
6 Otros;No Afiliada;5;2018;MS;SUPERMERCADOS;1771579006
5 Micro;5.1 Colsubsidio;8;2018;RyT;Club la Colina;3673761
6 Otros;No Afiliada;7;2018;RyT;Otros;7078564
3 Empresas Pymes;3.1 VIP;7;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;3570000
4 Micro;4.1 Estándar;7;2018;RyT;Piscilago;4164644
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;5;2018;RyT;Hotel Bosques de Athan;587555
4 Micro;4.1 Estándar;12;2018;RyT;Programas Deportivos;2e+05
1 Emp Grandes;1.1 Platinum;11;2018;MS;DROGUERIAS;1644753
2 Emp Medio;2.2 Silver;2;2018;MS;SUPERMERCADOS;5231896697
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;8;2018;RyT;Hotel Paipa;2952918
2 Emp Medio;2.1 Gold;4;2018;Salud;;14089200
2 Emp Medio;2.2 Silver;12;2018;RyT;Hotel Peñalisa;-138908
1 Emp Grandes;1.2 Premium;3;2018;RyT;Programas Recreativos;7086250
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Hotel Bosques de Athan;1861274
1 Emp Grandes;1.1 Platinum;11;2018;RyT;Hotel Paipa;0
4 Micro;4.1 Estándar;9;2017;Vivienda;SubsidioEntregado;41367300
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2018;RyT;Piscilago;9519116
1 Emp Grandes;1.2 Premium;10;2018;MS;DROGUERIAS;31778208
3 Empresas Pymes;3.2 VIP Estándar;4;2018;RyT;Otros;1294204
3 Empresas Pymes;3.2 VIP Estándar;1;2018;RyT;Eventos y Convenciones;3948000
3 Empresas Pymes;3.1 VIP;7;2017;MS;DROGUERIAS;81100
3 Empresas Pymes;3.1 VIP;9;2018;RyT;Hotel Paipa;11306954
3 Empresas Pymes;3.2 VIP Estándar;5;2018;RyT;Otros;1227530
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Otros;15043404
3 Empresas Pymes;3.1 VIP;11;2017;Vivienda;SubsidioAsignado;22131510
1 Emp Grandes;1.2 Premium;10;2018;RyT;Programas Deportivos;43569997
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;RyT;Eventos y Convenciones;772906
1 Emp Grandes;1.2 Premium;1;2018;Educación y Cultura;LEO;5544000
1 Emp Grandes;1.2 Premium;3;2018;RyT;Eventos y Convenciones;8921352
2 Emp Medio;2.2 Silver;12;2018;RyT;Eventos y Convenciones;1040377939
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;RyT;Eventos y Convenciones;3869355
4 Micro;4.1 Estándar;4;2017;MS;DROGUERIAS;26865
3 Empresas Pymes;3.2 VIP Estándar;8;2018;AyB;SALONES CALLE 26;2499140
3 Empresas Pymes;3.2 VIP Estándar;6;2018;RyT;Programas Recreativos;0
4 Micro;4.8 Transaccional - Pensionado;7;2018;MS;DROGUERIAS;207585
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;RyT;Programas Deportivos;2241050
6 Otros;No Afiliada;5;2018;RyT;Hotel Bosques de Athan;7210993
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;RyT;Hotel Paipa;1558504
6 Otros;No Afiliada;7;2018;RyT;Club la Colina;23157861
2 Emp Medio;2.2 Silver;11;2018;RyT;Piscilago;46731491
3 Empresas Pymes;3.2 VIP Estándar;9;2018;RyT;Eventos y Convenciones;18033779
4 Micro;4.5 Transaccional;2;2018;RyT;Hotel Peñalisa;1608193
4 Micro;4.1 Estándar;11;2018;Educación y Cultura;Teatro;385155351
4 Micro;4.8 Transaccional - Pensionado;8;2017;MS;DROGUERIAS;1215370
3 Empresas Pymes;3.2 VIP Estándar;9;2018;RyT;Club El Cubo;100692329
4 Micro;4.8 Transaccional - Pensionado;8;2017;MS;SUPERMERCADOS;46050
1 Emp Grandes;1.1 Platinum;8;2018;RyT;Hotel Bosques de Athan;24679922
2 Emp Medio;2.1 Gold;10;2017;Vivienda;Fecha Entrega;139900000
1 Emp Grandes;1.2 Premium;8;2018;RyT;Otros;1593091
3 Empresas Pymes;3.2 VIP Estándar;6;2018;RyT;Piscilago;9328792
4 Micro;4.5 Transaccional;5;2017;MS;DROGUERIAS;89789542
6 Otros;No afiliada;5;2017;MS;DROGUERIAS;9410078
2 Emp Medio;2.2 Silver;9;2018;RyT;Programas Deportivos;136375062
6 Otros;No Afiliada;6;2018;RyT;Piscilago;207899861
2 Emp Medio;2.2 Silver;7;2018;RyT;Hotel Paipa;1637208
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Hotel Bosques de Athan;3838042
6 Otros;No Afiliada;8;2017;Vivienda;Fecha Promesa;252043700
2 Emp Medio;2.1 Gold;8;2017;Vivienda;SubsidioEntregado;2340800
6 Otros;No Afiliada;8;2018;RyT;Eventos y Convenciones;70132562
4 Micro;4.5 Transaccional;6;2017;MS;DROGUERIAS;85755918
4 Micro;4.1 Estándar;5;2018;AyB;CATERING;1880889
6 Otros;No Afiliada;12;2018;RyT;Club El Cubo;142863444
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;MS;SUPERMERCADOS;110911972
4 Micro;4.5 Transaccional;7;2018;RyT;Piscilago;36217821
3 Empresas Pymes;3.1 VIP;9;2018;RyT;Club El Cubo;75977787
1 Emp Grandes;1.2 Premium;4;2018;RyT;Piscilago;10440000
4 Micro;4.5 Transaccional;8;2017;Vivienda;SubsidioEntregado;637450442
4 Micro;4.1 Estándar;1;2018;RyT;Club El Cubo;2632083
1 Emp Grandes;1.2 Premium;8;2018;MS;SUPERMERCADOS;253963524
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2017;Vivienda;SubsidioAsignado;169674910
4 Micro;4.2 Trans. Mas de 100 Trab.;3;2017;Vivienda;SubsidioEntregado;29479025
2 Emp Medio;2.2 Silver;11;2018;RyT;Club Bellavista;43595426
6 Otros;No afiliada;1;2017;Vivienda;SubsidioEntregado;8273460
2 Emp Medio;2.2 Silver;2;2018;RyT;Club la Colina;8411872
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2017;Vivienda;SubsidioEntregado;11803472
1 Emp Grandes;1.1 Platinum;9;2018;MS;SUPERMERCADOS;140398394
1 Emp Grandes;1.1 Platinum;6;2018;AyB;CATERING;113845274
3 Empresas Pymes;3.1 VIP;7;2018;RyT;Hotel Alcaravan;1571081
4 Micro;4.1 Estándar;10;2018;RyT;Piscilago;4697886
2 Emp Medio;2.2 Silver;7;2017;Vivienda;SubsidioEntregado;13789100
4 Micro;4.1 Estándar;8;2018;RyT;Eventos y Convenciones;3480761
2 Emp Medio;2.2 Silver;9;2018;RyT;Club la Colina;21159437
2 Emp Medio;2.2 Silver;8;2017;RyT;;0
4 Micro;4.1 Estándar;5;2017;Vivienda;SubsidioAsignado;14754340
4 Micro;4.1 Estándar;11;2018;RyT;Club la Colina;482000
3 Empresas Pymes;3.2 VIP Estándar;9;2018;RyT;Hotel Paipa;12886433
3 Empresas Pymes;3.2 VIP Estándar;9;2017;RyT;;10084
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;AyB;CATERING;825080
1 Emp Grandes;1.2 Premium;2;2018;Salud;;52923948
1 Emp Grandes;1.2 Premium;10;2017;Vivienda;SubsidioEntregado;14754340
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2018;Salud;;8099400
1 Emp Grandes;1.2 Premium;6;2018;RyT;Hotel Peñalisa;906092
1 Emp Grandes;1.1 Platinum;9;2018;Salud;;11527600
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;2;2017;Vivienda;SubsidioEntregado;157157078
6 Otros;No Afiliada;7;2018;RyT;Programas Deportivos;16201639
4 Micro;4.7 Transaccional - Independiente;3;2017;MS;#;2160
3 Empresas Pymes;3.2 VIP Estándar;3;2018;RyT;Otros;948162
3 Empresas Pymes;3.1 VIP;10;2018;RyT;Programas Recreativos;47343500
6 Otros;No Afiliada;7;2017;Vivienda;SubsidioEntregado;5867747478
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Club El Cubo;145190616
6 Otros;No Afiliada;1;2017;RyT;;475451931
6 Otros;No Afiliada;2;2018;RyT;Otros;9037281
6 Otros;No Afiliada;2;2018;Salud;;59948049
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2017;MS;SUPERMERCADOS;2515309
6 Otros;No Afiliada;7;2018;RyT;Club Bellavista;45540304
6 Otros;No Afiliada;6;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;12076519,29
5 Micro;5.1 Colsubsidio;5;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;4329412
5 Micro;5.1 Colsubsidio;8;2018;RyT;Hotel Paipa;1812037
3 Empresas Pymes;3.1 VIP;8;2018;RyT;Eventos y Convenciones;146344728
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;8;2018;MS;SUPERMERCADOS;4350571
1 Emp Grandes;1.1 Platinum;5;2018;Educación y Cultura;LEO;862000
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Otros;2785318
3 Empresas Pymes;3.1 VIP;11;2018;RyT;Club El Cubo;36662192
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;12;2018;RyT;Hotel Peñalisa;124028
2 Emp Medio;2.2 Silver;9;2018;MS;DROGUERIAS;687941759
2 Emp Medio;2.2 Silver;5;2018;RyT;Eventos y Convenciones;166765863
6 Otros;No Afiliada;8;2017;MS;DROGUERIAS;1487314103
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;6;2018;Salud;;45000
6 Otros;No Afiliada;7;2018;Salud;CHEQUEOS;6436495
6 Otros;No Afiliada;12;2018;RyT;Otros;63658019
6 Otros;No Afiliada;3;2017;Vivienda;Fecha Entrega;22990564870
2 Emp Medio;2.1 Gold;12;2018;RyT;Club Bellavista;434710764
6 Otros;No afiliada;12;2017;Vivienda;SubsidioEntregado;17705208
4 Micro;4.5 Transaccional;8;2017;MS;#;23950
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;9;2018;MS;SUPERMERCADOS;5059218
6 Otros;No Afiliada;6;2017;MS;SUPERMERCADOS;9729317734
3 Empresas Pymes;3.2 VIP Estándar;3;2018;RyT;Club El Cubo;34628067
3 Empresas Pymes;3.1 VIP;6;2018;RyT;Club El Cubo;78211300
6 Otros;No Afiliada;9;2018;RyT;Club Bellavista;86901880
3 Empresas Pymes;3.1 VIP;6;2018;RyT;Club Bellavista;58465987
1 Emp Grandes;1.1 Platinum;9;2018;RyT;Eventos y Convenciones;64217797
2 Emp Medio;2.1 Gold;1;2018;RyT;Eventos y Convenciones;34292588
4 Micro;4.8 Transaccional - Pensionado;9;2018;MS;SUPERMERCADOS;442942
2 Emp Medio;2.2 Silver;1;2018;RyT;Club El Cubo;6731510
3 Empresas Pymes;3.1 VIP;1;2018;RyT;Club El Cubo;15563593
1 Emp Grandes;1.1 Platinum;2;2018;AyB;CATERING;42402454
4 Micro;4.5 Transaccional;3;2017;MS;DROGUERIAS;85218909
6 Otros;No Afiliada;11;2018;RyT;Hotel Paipa;62908953
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;8;2018;RyT;Club la Colina;1939494
